Episode,Score,Pipes_Surpassed,Epsilon,Mean_Score_Last_100
1,-600.7269436367155,0,0.3,
2,-566.5415551584204,0,0.2994188376753507,
3,-123.19171894291992,0,0.2988376753507014,
4,-262.5419591076722,0,0.2982565130260521,
5,-399.2208185382386,0,0.2976753507014028,
6,-342.70115645672,0,0.2970941883767535,
7,-353.87992442548006,0,0.2965130260521042,
8,-151.30269018557465,0,0.2959318637274549,
9,-575.7804625772006,0,0.2953507014028056,
10,-331.96160324083274,0,0.2947695390781563,
11,-551.542738624471,0,0.294188376753507,
12,-291.02349900539895,0,0.29360721442885773,
13,-255.34352768255707,0,0.2930260521042084,
14,-417.87119113644593,0,0.2924448897795591,
15,-476.77536232205455,0,0.2918637274549098,
16,-202.59832041657614,0,0.2912825651302605,
17,-664.2034816704904,0,0.2907014028056112,
18,-610.1376746921092,0,0.2901202404809619,
19,-452.7728910185044,0,0.28953907815631263,
20,-516.6418148825844,0,0.2889579158316633,
21,-440.60772494995325,0,0.288376753507014,
22,-532.744536811512,0,0.2877955911823647,
23,-244.09960541060929,0,0.2872144288577154,
24,-166.94616196083825,0,0.28663326653306614,
25,-303.92458275971927,0,0.2860521042084168,
26,-152.43410533173926,0,0.28547094188376754,
27,-281.24613123254244,0,0.2848897795591182,
28,-530.058835227726,0,0.28430861723446893,
29,-514.6062905672998,0,0.28372745490981965,
30,-578.1346358297673,0,0.2831462925851703,
31,-208.8770630587225,0,0.28256513026052105,
32,-205.38851135837785,0,0.2819839679358717,
33,-161.18446411934758,0,0.28140280561122244,
34,-232.67819166734012,0,0.2808216432865731,
35,-275.50068820921626,0,0.28024048096192383,
36,-459.51523807925196,0,0.27965931863727456,
37,-128.33846140205912,0,0.2790781563126252,
38,-574.8929274648484,0,0.27849699398797595,
39,-318.11800136658104,0,0.2779158316633267,
40,-699.4750406826992,0,0.27733466933867734,
41,-638.6896357365052,0,0.27675350701402807,
42,-456.3697249499579,0,0.27617234468937873,
43,-390.7172852264463,0,0.27559118236472946,
44,-245.09112205011382,0,0.2750100200400801,
45,-640.6885344109122,0,0.27442885771543085,
46,-539.40136779334,0,0.2738476953907816,
47,-208.0633732977023,0,0.27326653306613224,
48,-285.0134894073914,0,0.27268537074148297,
49,-627.3465129204222,0,0.27210420841683364,
50,-132.7786134607402,0,0.27152304609218436,
51,-601.810330519831,0,0.2709418837675351,
52,-604.4679243997637,0,0.27036072144288575,
53,-398.97248337188887,0,0.2697795591182365,
54,-297.72351762356533,0,0.26919839679358715,
55,-475.9271736646215,0,0.26861723446893787,
56,-597.2880604261387,0,0.2680360721442886,
57,-415.41968515603793,0,0.26745490981963926,
58,-633.009031914202,0,0.26687374749499,
59,-498.2891365137913,0,0.26629258517034066,
60,-592.0430648604114,0,0.2657114228456914,
61,-189.06101282223318,0,0.26513026052104205,
62,-684.748691437251,0,0.2645490981963928,
63,-376.97472306953,0,0.2639679358717435,
64,-379.90038375500075,0,0.26338677354709417,
65,-612.345912447401,0,0.2628056112224449,
66,-275.0350239285099,0,0.2622244488977956,
